Wall time,Step,Value
1731497847.952503,9349,0.0
1731498268.3117197,9413,0.0
1731498289.3484924,9416,0.0
1731498415.0590978,9436,0.0
1731498654.9225974,9469,0.0
1731499224.6317365,9548,0.0
1731499265.623445,9555,0.0
1731499334.3254087,9568,0.0
1731499791.9188836,9628,0.0
1731500023.4558892,9658,0.0
1731500178.2376535,9681,0.0
1731500361.4809787,9699,0.0
1731500861.7076957,9769,0.0
1731501518.3982873,9844,0.0
1731501954.6888402,9908,0.0
1731502393.0224125,9973,0.0
1731503066.4564576,10059,0.0
1731503216.394187,10085,0.0
1731503857.1972377,10169,0.0
1731505004.139052,10277,0.0
1731505143.2242413,10206,0.0
1731506540.7972608,10319,0.0
1731506549.261646,10322,0.0
1731506762.2290342,10343,0.0
1731507338.7013016,10402,0.0
1731507386.2877555,10412,0.0
1731507653.29278,10445,0.0
1731508412.7224483,10530,0.0
1731508630.5529842,10547,0.0
1731508783.118368,10561,0.0
1731508933.7247176,10577,0.0
1731509113.4491167,10594,0.0
1731509482.9860828,10634,0.0
1731509838.031741,10680,0.0
1731509843.5145147,10681,0.0
1731510052.8751593,10703,0.0
1731510449.9981632,10738,0.0
1731510647.2106814,10764,0.0
1731510762.0535412,10773,0.0
1731511322.9972703,10825,0.0
1731511357.2282925,10828,0.0
1731514209.365062,10862,0.0
1731514238.085316,10866,0.0
1731514476.9506404,10889,0.0
1731514503.8978424,10895,0.0
1731514548.88803,10897,0.0
1731514912.2325149,10937,0.0
1731514948.243185,10943,0.0
1731515085.8605301,10956,0.0
1731515116.959083,10961,0.0
1731515697.2753873,11025,0.0
1731515870.0722098,11044,0.0
1731515958.3819335,11053,0.0
1731516315.360239,11098,0.0
1731516474.3419847,11121,0.0
1731516501.4747245,11123,0.0
1731516515.1788864,11124,0.0
1731517028.5368042,11183,0.0
1731518694.7142773,11342,0.0
1731519392.7681901,11395,0.0
1731519554.8962383,11415,0.0
1731519861.5446975,11446,0.0
1731519964.9042752,11455,0.0
1731520203.788728,11472,0.0
1731520371.0948398,11489,0.0
1731520596.2630618,11520,0.0
1731521117.7763853,11571,0.0
1731521344.7473404,11594,0.0
1731521469.3833907,11608,0.0
1731522140.134489,11682,0.0
1731523114.150567,11796,0.0
1731524123.0199203,11892,0.0
1731524204.905812,11897,0.0
1731538335.8075073,11933,0.0
1731538633.978261,11964,0.0
1731539458.1492765,12061,0.0
1731539659.4571319,12087,0.0
1731539697.922428,12091,0.0
1731539826.612764,12107,0.0
1731540145.2886581,12149,0.0
1731540862.534421,12213,0.0
1731540900.8530352,12216,0.0
1731541097.5776272,12232,0.0
1731542121.3410707,12328,0.0
1731542786.1665645,12381,0.0
1731543660.0690715,12476,0.0
1731544426.4015002,12594,0.0
1731544650.0119693,12622,0.0
1731545112.6677432,12681,0.0
1731545488.0176868,12728,0.0
1731546073.3356574,12800,0.0
